arquivo;condicao;ocorrencia;label
dp297_follow.nirs;S;1;S_2min
dp297_follow.nirs;D;1;D_2min
dp297_follow.nirs;D;2;D_andar
dp297_follow.nirs;S;2;S_andar
dp297_follow.nirs;S;3;S_andar
dp297_follow.nirs;D;3;D_andar
dp297_follow.nirs;D;4;D_andar
dp297_follow.nirs;B;2;Baseline
dp297_follow.nirs;S;4;S_postura
dp297_follow.nirs;F;1;F
dp297_follow.nirs;I;1;I
dp297_follow.nirs;B;3;B_postura
dp297_follow.nirs;S;5;S_postura
dp297_follow.nirs;D;5;D_postura
dp297_follow.nirs;D;6;D_postura
dp297_follow.nirs;D;7;D_postura
dp297_follow.nirs;S;6;S_postura
