Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR
Baseline;-20.0;-0.8787460592412524;-0.19180916413128823;-0.2627900199731972;0.3931505684666394;0.32929494986171726;0.2182694273790844
Baseline;-19.9;-0.9146321351872491;-0.20994524455530605;-0.3010687674002437;0.36809011424172766;0.2923711031975724;0.20579263093266764
Baseline;-19.8;-0.9303076913258597;-0.22610781693482274;-0.33317593425898906;0.34457453684074313;0.2610412230681529;0.19738908429970525
Baseline;-19.7;-0.9965630296537942;-0.24048922544801155;-0.3717247421805734;0.3225514423375504;0.22193415013773254;0.19160017389827466
Baseline;-19.6;-1.0894349062761277;-0.2529645155404827;-0.4117618917268171;0.30240238366245364;0.1803157012829555;0.1883963762874794
Baseline;-19.5;-0.9206753479817129;-0.2634151066779209;-0.4022047977791594;0.28456837193772344;0.19066334072551072;0.1876470659229037
Baseline;-19.4;-1.1492981332582763;-0.2720644647917556;-0.46437795691375694;0.26881236193550606;0.12319728708949818;0.18758877473042634
Baseline;-19.3;-1.0862974730300712;-0.27919283512881243;-0.4644153770192112;0.2547406550202256;0.1221066709387113;0.186557000124135
Baseline;-19.2;-1.0234534200470948;-0.2851382932612063;-0.4585665823815077;0.24204862449068631;0.1271850879008447;0.18244658951109383
Baseline;-19.1;-1.2429537739812915;-0.2902537438457671;-0.5352787020852121;0.23040021615806783;0.04081968437085948;0.17313925433996769
Baseline;-19.0;-1.0811494704707378;-0.2947160208106263;-0.49534286382292336;0.21957769714936415;0.08295893754697481;0.15919457749761268
Baseline;-18.9;-1.1497530733487515;-0.29869451790757395;-0.5248335710542547;0.20936763623751453;0.047741888074837036;0.14201692481715522
Baseline;-18.8;-1.1754754807141552;-0.30225091305308016;-0.5415759598621497;0.19965420282170143;0.025860553806266395;0.122253971649398
Baseline;-18.7;-1.1936157622806896;-0.3054388684698628;-0.5555427107981981;0.1903140423880192;0.00621169141783362;0.10085349254769849
Baseline;-18.6;-1.200316367091629;-0.30860178093972923;-0.5662812132702939;0.18095930102248836;-0.010754112898180068;0.07854844790187254
Baseline;-18.5;-1.214438412068743;-0.3120731230270044;-0.5800272807050444;0.17123917192089877;-0.03188883852578783;0.055701399390645
Baseline;-18.4;-1.2344626226135462;-0.31622133694306864;-0.596858513409738;0.16071644626818582;-0.057393959785684956;0.033461265633657256
Baseline;-18.3;-1.2544827131523935;-0.3213926915829797;-0.6155311661104479;0.14898682532217666;-0.08598815835607887;0.012992110693214265
Baseline;-18.2;-1.276577976916765;-0.3274509693649543;-0.6364601506659939;0.13624733839780934;-0.1179804094009711;-0.005983424470987764
Baseline;-18.1;-1.2990203703913918;-0.3341111580953573;-0.6585754670059893;0.12287008693081258;-0.15199767987283685;-0.024134290992605223
Baseline;-18.0;-1.3171943706998634;-0.3411689482985869;-0.6799656034057433;0.10915100320404836;-0.1856575767635409;-0.04172345239711639
Baseline;-17.9;-1.349600181700077;-0.34835313840506643;-0.7065110950185973;0.0954716458586704;-0.22523736852290455;-0.059170383072989274
Baseline;-17.8;-1.4010267245948294;-0.3555208238662084;-0.739631075721138;0.08201306872365333;-0.27228722319561705;-0.07680309529070506
Baseline;-17.7;-1.3861719584595331;-0.3625940483181971;-0.7500252989411846;0.0688697608396387;-0.2941139991080899;-0.09468101936151552
Baseline;-17.6;-1.3289171583712003;-0.3693183097046937;-0.745476978023853;0.056366340532829184;-0.2993191301606153;-0.113322219373444
Baseline;-17.5;-1.5981471046935587;-0.37545096465893746;-0.8518106950290703;0.04480742073459343;-0.4282634194722892;-0.1332364043905061
Baseline;-17.4;-1.3982837114647122;-0.380903566110244;-0.7966975518001389;0.03432898806106621;-0.37681670013120794;-0.15378917446769425
Baseline;-17.3;-1.4804966262667998;-0.3855954476825634;-0.8369310189665429;0.02507238214831453;-0.4312853786408173;-0.17400169494390028
Baseline;-17.2;-1.5150043944626388;-0.38954018485793185;-0.8598302213767139;0.017025507376850157;-0.46582444437319914;-0.19331444524717334
Baseline;-17.1;-1.5379239813306045;-0.39277252353567693;-0.8773131540323158;0.010149318445510147;-0.4936505210065665;-0.21103458676784737
Baseline;-17.0;-1.5490912329058082;-0.395128669241152;-0.8881856426014147;0.004696853902766307;-0.5131515461043694;-0.22644180748627551
Baseline;-16.9;-1.553319352389658;-0.3964374526950163;-0.8979648668312104;0.0009253080731914665;-0.5301646955846362;-0.23906607081592846
Baseline;-16.8;-1.5425092365681659;-0.3965328618098445;-0.9046892726723401;-0.0009139130672464191;-0.5421634955483245;-0.24796608420907518
Baseline;-16.7;-1.5873644108855922;-0.3952629957571743;-0.91366098528328;-0.000584921060759136;-0.5550637947353483;-0.25225970241121676
Baseline;-16.6;-1.667418230147061;-0.392707766089762;-0.9233115698234569;0.0017814854453641615;-0.5671705461033785;-0.25230361563320347
Baseline;-16.5;-1.4417522410834644;-0.3890166628361724;-0.8979871351605313;0.005934781230243047;-0.5376521575303723;-0.2487856614608397
Baseline;-16.4;-1.64705077982459;-0.38432389374693887;-0.9160452600014954;0.011696738564532794;-0.5569790723957571;-0.24224508922072197
Baseline;-16.3;-1.5876568634473953;-0.3787959263846945;-0.9040501552657387;0.018837431212260114;-0.5407143398726628;-0.23339732297940508
Baseline;-16.2;-1.5681912474848838;-0.3725029422346733;-0.8943935484390257;0.02720362172204993;-0.5263818398817666;-0.22257937171316655
Baseline;-16.1;-1.5566976696627082;-0.3654916995634423;-0.8837187190169553;0.03668640309250826;-0.5102299035542543;-0.2099327286138628
Baseline;-16.0;-1.5562270341507007;-0.35788060482574746;-0.8725118393388689;0.04704200952414972;-0.49313225267266425;-0.19607016157572232
Baseline;-15.9;-1.545557218799007;-0.3497828867168362;-0.8586725138824649;0.05803183522573452;-0.472975381720083;-0.1815782413102891
Baseline;-15.8;-1.5281065482943381;-0.3413253892285777;-0.8428915019610939;0.06954237700024901;-0.4505224947426534;-0.1665520598362713
Baseline;-15.7;-1.5119918251895;-0.3326561243783255;-0.8264413223834088;0.08146602243618961;-0.4271542344790351;-0.15103803940273952
Baseline;-15.6;-1.4958302488926156;-0.32384482891395994;-0.809376609012717;0.09375880577443851;-0.40284049154201895;-0.13495121682257682
Baseline;-15.5;-1.479199635947789;-0.3149616786836287;-0.7918732582878354;0.1063924476235023;-0.37764876547000803;-0.11814008991950153
Baseline;-15.4;-1.4631156603921136;-0.30615632732953824;-0.7743616313904971;0.11918113729968915;-0.35219672044330963;-0.10092752057946264
