Condicao;Tempo_s;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;-20.0;0.13444216450404234;-0.02209197898111004;-0.0992902906723181;0.09451475472327253;0.46157066774850275;-0.1790622794241119;0.2440150103574199;0.012469576678915573
A;-19.9;0.14018102410591027;-0.02148137338308942;-0.09076364545463189;0.08936517384181819;0.45968960679604454;-0.17910594706222982;0.24489346080417196;0.008125732884349368
A;-19.8;0.14549129324066357;-0.02081181403642507;-0.08262892671643929;0.08440724435880842;0.45730255828672384;-0.17889177351980523;0.24544752716279739;0.004250977670717582
A;-19.7;0.15041532804572721;-0.02014915257983585;-0.07484087221393843;0.07965739771216107;0.4546511551949708;-0.17843569778139523;0.24578521041164514;0.000799693258226597
A;-19.6;0.1549831911250381;-0.01950682133756665;-0.06738054770505819;0.07512316300831845;0.45182512693884114;-0.1777455915286228;0.24593732370769317;-0.0022537227434051843
A;-19.5;0.15923656441963185;-0.018894350739754096;-0.060223141420586046;0.07081230535869043;0.4489196375784674;-0.17682972778608752;0.24593376700374225;-0.004940283265237433
A;-19.4;0.16317103569958924;-0.01840141840325682;-0.05334234953568995;0.06673832201213514;0.44617398295843635;-0.17570768767746303;0.24590188983933636;-0.007290109572710257
A;-19.3;0.1667621135110453;-0.018113759297099463;-0.04672546884112716;0.06291174015889123;0.4437908718337189;-0.17439846994572195;0.24595668639479662;-0.009323451183838927
A;-19.2;0.17002813854385312;-0.018128493906141685;-0.04032718253850831;0.05934619297321575;0.44205561874085664;-0.1729246631865542;0.24623720200700827;-0.011089415432674166
A;-19.1;0.17298116059021584;-0.018536979343792837;-0.03410872040978674;0.05605458100531813;0.441231656014069;-0.1713084128841582;0.24687673782110675;-0.01263086106297262
A;-19.0;0.17560007842152903;-0.0193046373988075;-0.028099175672127608;0.053030256657905284;0.44121897584935965;-0.16955274430787215;0.247821419376133;-0.013942260642684445
A;-18.9;0.177867415052269;-0.020359615030312916;-0.022337474929626566;0.05025964060773003;0.4418246246966264;-0.16765580255528656;0.24895998628631233;-0.015014827488946558
A;-18.8;0.17973247837035178;-0.021646135348476037;-0.01688285750504992;0.047735926964786124;0.4428620730606747;-0.16561762403587332;0.25022395651761364;-0.0158096809008077
A;-18.7;0.18113968902425182;-0.023091023629294938;-0.011803808633064072;0.045449088956050154;0.4440936766029546;-0.16343590176504064;0.25151843450482403;-0.016281857672891142
A;-18.6;0.18210636884164533;-0.024662489079052996;-0.007096945938167565;0.04338716810717003;0.44546482112994124;-0.1611171292211968;0.25278495038736803;-0.016461053534874814
A;-18.5;0.18265594705318033;-0.026344732094806034;-0.0027489876604560592;0.041541140603484905;0.4469691357878718;-0.15867073143712895;0.2539944642168672;-0.01638165647573775
A;-18.4;0.1828035917911377;-0.028077461981488305;0.0012329766625800431;0.03989229450046583;0.44847414757914184;-0.15609923225358768;0.25503671991231247;-0.01607207925794185
A;-18.3;0.1825701152000594;-0.029803274434200944;0.0048475790931279406;0.038421654811247485;0.4498600178356025;-0.1534060692727155;0.25580652940041837;-0.015565172241167602
A;-18.2;0.18190513115834595;-0.031489344370127625;0.008042253122747312;0.03712980336365579;0.451000939378563;-0.1505965906133837;0.2563012200985506;-0.014810713850989643
A;-18.1;0.18073107362210283;-0.033099480568049344;0.010741203477231842;0.036020719069693286;0.4517346735789083;-0.14767478439048753;0.2565266191250126;-0.0137308520704984
A;-18.0;0.1790243236357849;-0.034627813546530106;0.012923539698637576;0.03509599236999694;0.4520301617314795;-0.1446515557523349;0.2565199313779827;-0.01230042136551912
A;-17.9;0.17675615052094784;-0.036072049149254326;0.014565329251832182;0.034359314342432334;0.45185998916024417;-0.1415382030338601;0.25633249799914637;-0.010486041971991433
A;-17.8;0.17387063921227774;-0.03737729357427799;0.015604342597406173;0.03380224885120331;0.4510306835458273;-0.13833594688574502;0.2558983320070105;-0.008246228765394825
A;-17.7;0.17033166014910694;-0.038489296717183485;0.01599581785182913;0.03341130194254305;0.44936815210104086;-0.13504664212148176;0.2551329161120668;-0.005564798483006506
A;-17.6;0.16606675114315905;-0.039349211532162975;0.01566171434823982;0.03318325612901596;0.4466515874155883;-0.13167004992946785;0.25399404893172406;-0.0023690821466422207
A;-17.5;0.16101147701623297;-0.039902041552159595;0.01453280258766032;0.03311246503905263;0.4426760878865359;-0.12820633418615257;0.25243218629850883;0.0014001790668789482
A;-17.4;0.15522575786662252;-0.04016699384724198;0.012669176916665137;0.0331862362983637;0.4375490898379608;-0.12467247283852112;0.2504659810308203;0.00567300082460509
A;-17.3;0.14880179272585448;-0.040184809599695726;0.010164392688086998;0.03339370392615759;0.4314650020031685;-0.12108993605326424;0.2481557555396554;0.01035851530709575
A;-17.2;0.1418272425638767;-0.03998989048722912;0.007110226218525639;0.03371149884433766;0.42459136587999957;-0.11747702766407775;0.24547833958951326;0.015328621199521386
A;-17.1;0.13440803081532327;-0.03962686467028842;0.0036172897982229557;0.0341149642291354;0.41713910758727657;-0.11385421917149285;0.2424192626634616;0.020436627900958904
A;-17.0;0.1265950600204988;-0.03911085816822535;-0.000265920504923578;0.03460271284639216;0.4091940258948714;-0.11023544836552324;0.23905930021614452;0.025665880762913318
A;-16.9;0.11842205616282087;-0.03844828798063382;-0.004507804483466771;0.03517396655909266;0.4008004950880659;-0.10663132562437427;0.23546737403356754;0.0310167368174028
A;-16.8;0.10996813435805919;-0.03767034768222466;-0.00903182434812777;0.03582755310421781;0.39211430136111236;-0.10306060131467332;0.23175348643021998;0.036450596847462435
A;-16.7;0.10130902126418029;-0.036806345938671825;-0.013765151488954963;0.03656375526807132;0.3832818427588389;-0.09954067241972586;0.22803251437169703;0.04193815774833887
A;-16.6;0.09250603961435466;-0.035882086963102466;-0.01863752910671046;0.03735385055280638;0.37441090357260176;-0.09608159514939585;0.22422469547564106;0.04735590594723327
A;-16.5;0.08362812014172061;-0.03492849374638318;-0.02356772296968579;0.03815915407896586;0.3656267196292502;-0.09269409105546833;0.22019692100930666;0.052537231206602364
A;-16.4;0.07470952907959827;-0.033953617347203924;-0.02851554929581912;0.03895884996390375;0.35696181551024164;-0.08938098997111643;0.21588711606117972;0.05741494894044319
A;-16.3;0.06578121497112921;-0.032964786489860565;-0.03344287165931625;0.03972952006583341;0.3484409229702372;-0.08614342890572102;0.2112127632782288;0.06191515482272969
A;-16.2;0.056930458353406266;-0.031998919972120454;-0.03825671207369297;0.04044287081360487;0.3402318037115988;-0.08299919759135177;0.20612622104017664;0.06589435903098373
A;-16.1;0.048243629567089386;-0.031089329873062788;-0.04286908963033742;0.041078568044186525;0.3324955211781253;-0.07996672310093755;0.20062729484142672;0.06924077045473886
A;-16.0;0.03980873370537896;-0.030279940148795426;-0.04718125974102616;0.04160036342927764;0.3254109915591643;-0.07706058962722784;0.19461604353079487;0.07177832172915632
A;-15.9;0.031711061903387794;-0.029610741541941543;-0.051099908939930216;0.04197556550604986;0.31914685944359267;-0.07429589157582006;0.18801174959289924;0.07334686832976534
A;-15.8;0.02395812389576779;-0.029064070843987544;-0.05462670740770115;0.04221439840967722;0.3136498078784591;-0.07166984126898024;0.1809077055585364;0.07402401443190687
A;-15.7;0.01653066263383085;-0.028608335394013196;-0.05779197307634831;0.042336471816128984;0.3087997775591189;-0.06917101001525916;0.17342078491522006;0.07394642872092216
A;-15.6;0.009428074692632293;-0.02820913509653078;-0.06061747933038397;0.04236595257064746;0.30450701775738676;-0.0668020343785618;0.1657267743538462;0.07325161324623508
A;-15.5;0.002638712011038713;-0.02782412423859615;-0.06313861981391344;0.04233339891065402;0.3006507554885287;-0.06456279164592837;0.15802708116730368;0.07211161176722936
A;-15.4;-0.0038426344012467695;-0.027447429347282615;-0.06536043102091948;0.042240454040482156;0.29717866163805784;-0.06243966746469054;0.1503351042019272;0.07057281445951169
A;-15.3;-0.010012936956770524;-0.027080433190488584;-0.06727840135946561;0.042083149852608415;0.29406622420601725;-0.06042203973620852;0.1426392996529513;0.06864934601553774
A;-15.2;-0.01589540201192019;-0.026705766982225043;-0.06891685450443141;0.04187207865879827;0.29120968126569036;-0.05848880460456973;0.13498288048726437;0.06644098094147743
A;-15.1;-0.02151439203492167;-0.026308784720368017;-0.07030014175750132;0.04161613103437478;0.2885097044301217;-0.056618119572590775;0.1273955870351262;0.06403891649668392
A;-15.0;-0.026859056177967133;-0.025860736230807646;-0.0714438787974423;0.04133463798546444;0.28591588964271963;-0.05482368021059125;0.12004013892817778;0.061539892040254784
A;-14.9;-0.03191202364797707;-0.025322955179460926;-0.07236612015595156;0.04105454520778906;0.28337335080743653;-0.05312763517566532;0.11314090679263789;0.05906727632419706
A;-14.8;-0.036658324037050605;-0.024685780620512965;-0.07307072273836734;0.040782803506850485;0.2808771323909882;-0.05154213292175358;0.10678303280440904;0.05665383356028908
A;-14.7;-0.04108038981684459;-0.023938930734320962;-0.07356157470183877;0.040526996861888875;0.2784289052778268;-0.050083115458532834;0.10106076200507186;0.05432973303820354
A;-14.6;-0.04517644599338411;-0.023044455686717313;-0.0738610073396595;0.04031505544956815;0.27593718631831887;-0.048754223157553955;0.09616999876551979;0.05224472248682854
A;-14.5;-0.04895089583301715;-0.021971699799583355;-0.07398956281780666;0.04017065024521216;0.2733095706428852;-0.04755011384749652;0.09226441232793903;0.05053692178965097
A;-14.4;-0.05240298664824827;-0.020674111855253585;-0.07398020809668271;0.040127362219609886;0.2704492788983126;-0.04648439603322485;0.08958136557001772;0.04937090264860888
A;-14.3;-0.055531603357635184;-0.019109798135062306;-0.07386105960662182;0.04021636843717413;0.26726529894450124;-0.04556661722798916;0.08833885373439987;0.0489027770634296
A;-14.2;-0.05833952089665129;-0.01730768683550732;-0.07362346669141306;0.040421651931462854;0.26378890347215744;-0.044781092200165684;0.08842750627799578;0.04907532940854065
A;-14.1;-0.06083271725385586;-0.015314573854179336;-0.07325507274086984;0.04071470911356467;0.26008802949354415;-0.04411090397881123;0.08965282063918512;0.049767648056026736
A;-14.0;-0.06300691248817625;-0.013177327305038844;-0.07272070300385192;0.0410700671674622;0.2562170081959323;-0.043522503141033564;0.0918354489877693;0.05089360721497993
A;-13.9;-0.06485947817691429;-0.01095287794252009;-0.07198086630793821;0.04145573746748621;0.25224663907051337;-0.042978454983632286;0.09474867347607674;0.052337408102960836
A;-13.8;-0.06640410831489163;-0.008660320602246863;-0.07105256628709533;0.041860575354599305;0.24820471495366014;-0.042481194009289514;0.09831370371956982;0.05404190155931765
A;-13.7;-0.0676521918477917;-0.006309354864090899;-0.06995492311525098;0.042280018738450664;0.24410504628890628;-0.0420363709656848;0.10249779988470653;0.0559792109990811
A;-13.6;-0.06862411735113305;-0.0039343373192188835;-0.068705533645125;0.04269252271046575;0.24000052628221802;-0.041643298948404794;0.10714534934596909;0.05804085210308951
A;-13.5;-0.06934123222762789;-0.001566889645273406;-0.06732509419378196;0.04307818307519895;0.2359415060088983;-0.04130393863772275;0.11211141202311037;0.0601229897035509
A;-13.4;-0.06978658795402204;0.0007572927031187504;-0.06576314204675882;0.04342173089464474;0.23196761288505652;-0.04098148224612297;0.11728684084735264;0.06219153521850451
A;-13.3;-0.06993476834309842;0.002994261403205911;-0.06394734593555107;0.04370473208279613;0.22812366619809588;-0.040624064513776315;0.12253843094892058;0.06421346359366886
A;-13.2;-0.06977323826332782;0.005128285921751186;-0.061846394082782474;0.04392379997335283;0.22442335867054286;-0.040209880572372736;0.1278380366950227;0.06619702315115639
A;-13.1;-0.06928520958284068;0.007144319606088523;-0.059421614010410906;0.04407668132220621;0.22087873991932394;-0.039713902491030684;0.1331657504083097;0.06815974863889274
A;-13.0;-0.06847004897985531;0.008993205498875056;-0.05663625323841881;0.04413859700270262;0.21754163539485827;-0.039096036328829964;0.138332298053081;0.07002006391769733
A;-12.9;-0.06733927839538634;0.01063055674083735;-0.05347618677249155;0.0440859629647079;0.21445866042279693;-0.03832743175906517;0.1431523988822665;0.07168863424685767
A;-12.8;-0.06587703065367467;0.012001957225244553;-0.04987616743589296;0.043892281742804684;0.2116924961169424;-0.03735660228339954;0.14743073698003162;0.07308828288472835
A;-12.7;-0.0640748577552106;0.013056620923455498;-0.04578411468601651;0.04353244738650108;0.20929847103013532;-0.036137162585639704;0.15097756302700915;0.0741426192829735
A;-12.6;-0.061959824759244775;0.013810894123212236;-0.04125163789763153;0.04301684813467421;0.20725280966147608;-0.03469423888115353;0.1538467196703861;0.07487263253467358
A;-12.5;-0.059558445192504195;0.014300374137841132;-0.036343700313036464;0.04236666624797358;0.20551452707417628;-0.03306992333589642;0.15617302974445568;0.07533494187939649
A;-12.4;-0.05693140029476673;0.014554393352225858;-0.03117007080659917;0.041596868801070386;0.2040274577862249;-0.03130889037598683;0.158023462030072;0.07555028103099914
A;-12.3;-0.05414496444334027;0.014611885745520858;-0.02585575854173605;0.04072738843659085;0.20272432614963787;-0.02946619530072203;0.1594984525639518;0.0755522961468511
A;-12.2;-0.05119241057761226;0.014487492729852391;-0.020399568012630986;0.03976871767469792;0.20160312555459647;-0.027555846959244956;0.1606755030847431;0.07537692641097493
A;-12.1;-0.04806381738037757;0.014187461766303144;-0.014788364743758997;0.03872646737403862;0.20066956558372695;-0.025582133969294762;0.16159782013229584;0.07504688941933146
A;-12.0;-0.04475485708056581;0.013741766387864729;-0.00903563592834633;0.03762007102385656;0.19990904027184708;-0.023574321117869612;0.1624062547036207;0.07462465498634341
A;-11.9;-0.041256669181747085;0.013179062829884458;-0.003146802850920949;0.03646812157754553;0.19931057478679026;-0.02155897865684908;0.16323889154678017;0.07417188345579895
A;-11.8;-0.03764542664725479;0.01251771853432082;0.00275832801094289;0.03527703481283595;0.19881146598222088;-0.01956890935773581;0.16408833206837503;0.07367972398561484
A;-11.7;-0.03402752474902293;0.01177888011617334;0.008514303955565516;0.034053208290382386;0.19832734942383645;-0.017645971109484737;0.16492559983953026;0.073126938908457
A;-11.6;-0.030452448988576464;0.01096735747695643;0.014051181989814587;0.0327954157236352;0.19782329224245743;-0.015803647293436196;0.16570739510786403;0.07249032684365808
A;-11.5;-0.026977636702552488;0.010086512364492428;0.01928910066721201;0.031500742080880606;0.197259301792446;-0.014055035813334005;0.1663732615290323;0.0717387408623642
A;-11.4;-0.02367958814505844;0.009167225705453141;0.02409865483697793;0.03018471706355008;0.1965694739154369;-0.0124470803302148;0.16697631302915728;0.07088834429629465
A;-11.3;-0.0206103425486468;0.008240010340118786;0.02838608266459719;0.028864291815264842;0.19570671158658914;-0.011022097305171119;0.16759584958174578;0.06996772659431194
A;-11.2;-0.01787332777900641;0.007338404579070534;0.031982248987501904;0.027553729563024376;0.1945801036208712;-0.009832486373421379;0.16826086578078936;0.06898194148167036
A;-11.1;-0.015560569564856408;0.006494109515753799;0.03473586135888951;0.026267305389923834;0.19311018026741955;-0.00892743118460837;0.16900695316299874;0.06793914410903312
A;-11.0;-0.013625149146187177;0.005699580385774006;0.03672676916493067;0.025001234962088503;0.19134134967028782;-0.008289904769795076;0.16983839195803707;0.06684062574054295
A;-10.9;-0.011991176526411351;0.004935892707068845;0.03808627250957741;0.02374462088911855;0.18934161722511256;-0.007883779318895723;0.17073285390630577;0.06567857436062141
A;-10.8;-0.010565559380968814;0.0041877473486513495;0.038965755221910925;0.022494770404200004;0.1872048128279431;-0.007680410924342684;0.171726148473212;0.06446882156495448
A;-10.7;-0.009234959856175173;0.003434659895606096;0.039550021255243095;0.02124664418229205;0.1850424509277957;-0.007641815079792114;0.1728511929894525;0.0632269165687358
A;-10.6;-0.007987316627210639;0.0026711851303877765;0.03986987099205397;0.019991791231282363;0.18285802272529672;-0.007752387785659121;0.17406766846818922;0.06193749731555798
